;date;age;job;relation;education;defaut;balance;pret_immo;pret_perso;contact;duree_contact;nb_contact;nb_j_dernier_contact;nb_contact_derniere_campagne;resultat_derniere_campagne;statut
32;2008-05-05;60;Admin;Marié;Secondaire;No;39;Yes;Yes;;208;1;-1;0;;Refus
33;2008-05-05;59;Col bleu;Marié;Secondaire;No;0;Yes;No;;226;1;-1;0;;Refus
34;2008-05-05;51;Manager;Marié;Tertiaire   ;No;10635;Yes;No;;336;1;-1;0;;En Attente
35;2008-05-05;57;Technicien  ;Divorcé;Secondaire;No;63;Yes;No;;0;1;-1;0;;Absent
36;2008-05-05;25;Col bleu;Marié;Secondaire;No;-7;Yes;No;;365;1;-1;0;;Refus
37;2008-05-05;53;Technicien;Marié;Secondaire;No;-3;No;No;;0;1;-1;0;;Absent
38;2008-05-05;36;Admin;Divorcé;Secondaire;No;506;Yes;No;;0;1;-1;0;;Absent
39;2008-05-05;37;Admin;Célibataire;Secondaire;No;0;Yes;No;;0;1;-1;0;;Absent
40;2008-05-05;44;Services;Divorcé;Secondaire;No;2586;Yes;No;;160;1;-1;0;;Suppression
41;2008-05-05;50;Manager;Marié;Secondaire;No;49;Yes;No;;180;2;-1;0;;Refus
42;2008-05-05;60;Col bleu;Marié;;No;104;Yes;No;;0;1;-1;0;;Absent
43;2008-05-05;54;Retraité;Marié;Secondaire;No;529;Yes;No;;1492;1;-1;0;;Refus
44;2008-05-05;58;Retraité;Marié;;No;96;Yes;No;;616;1;-1;0;;Suppression
45;2008-05-05;36;Admin;Célibataire;Primaire;No;-171;Yes;No;;0;1;-1;0;;Absent
46;2008-05-05;123;Indépendant;;Tertiaire;No;-364;Yes;;;355;1;-1;0;;Suppression
47;2008-05-05;44;Technicien;Marié;Secondaire;No;0;Yes;No;;0;2;-1;0;;Absent
48;2008-05-05;55;Technicien;Divorcé;Secondaire;No;0;No;No;;160;1;-1;0;;Refus
49;2008-05-05;29;Manager;Célibataire;Tertiaire;No;0;Yes;No;;0;1;-1;0;;Absent
50;2008-05-05;54;Col bleu;Marié;Secondaire;No;1291;Yes;No;;266;1;-1;0;;Suppression
51;2008-05-05;123;Manager;;Tertiaire;No;-244;Yes;;;253;1;-1;0;;Refus
52;2008-05-05;123;Manager;;Tertiaire;No;0;Yes;;;179;1;-1;0;;Refus
53;2008-05-05;42;Admin;Célibataire;Secondaire;No;-76;Yes;No;;0;1;-1;0;;Absent
54;2008-05-05;24;Technicien;Célibataire;Secondaire;No;-103;Yes;Yes;;145;1;-1;0;;Refus
55;2008-05-05;38;Entrepreuneur;Célibataire;Tertiaire;No;243;No;Yes;;0;1;-1;0;;Absent
56;2008-05-05;38;Manager;Célibataire;Tertiaire;No;424;Yes;No;;104;1;-1;0;;Refus
57;2008-05-05;47;Col bleu;Marié;;No;306;Yes;No;;0;1;-1;0;;Absent
58;2008-05-05;40;Col bleu;Célibataire;;No;24;Yes;No;;0;1;-1;0;;Absent
59;2008-05-05;46;Services;Marié;Primaire;No;179;Yes;No;;1778;1;-1;0;;Refus
60;2008-05-05;32;Admin  ;Marié;Tertiaire;No;0;Yes;No;;138;1;-1;0;;Refus
61;2008-05-05;53;Technicien;Divorcé;Secondaire;No;989;Yes;No;;812;1;-1;0;;Refus
62;2008-05-05;57;Col bleu;Marié;Primaire;No;249;Yes;No;;0;1;-1;0;;Absent
63;2008-05-05;33;Services;Marié;Secondaire;No;790;Yes;No;;0;1;-1;0;;Absent
64;2008-05-05;49;Col bleu;Marié;;No;154;Yes;No;;357;1;-1;0;;Refus
65;2008-05-05;51;Manager;Marié;Tertiaire;No;6530;Yes;No;;91;1;-1;0;;Suppression
66;2008-05-05;60;Retraité;Marié;Tertiaire   ;No;100;No;No;;0;1;-1;0;;Absent
67;2008-05-05;59;Manager;Divorcé;Tertiaire;No;59;Yes;No;;0;1;-1;0;;Absent
68;2008-05-05;55;Technicien;Marié;Secondaire;No;1205;Yes;No;;158;2;-1;0;;Suppression
69;2008-05-05;35;Col bleu;Célibataire;Secondaire  ;No;12223;Yes;Yes;;177;1;-1;0;;Refus
70;2008-05-05;57;Col bleu;Marié;Secondaire;No;5935;Yes;Yes;;258;1;-1;0;;Refus
71;2008-05-05;31;Services;Marié;Secondaire;No;25;Yes;Yes;;172;1;-1;0;;Suppression
72;2008-05-05;54;Manager;Marié;Secondaire;No;282;Yes;Yes;;154;1;-1;0;;Refus
73;2008-05-05;55;Col bleu;Marié;Primaire;No;23;Yes;No;;0;1;-1;0;;Absent
74;2008-05-05;43;Technicien;Marié;Secondaire;No;1937;Yes;No;;0;1;-1;0;;Absent
75;2008-05-05;53;Technicien;Marié;Secondaire;No;384;Yes;No;;176;1;-1;0;;Refus
76;2008-05-05;44;Col bleu;Marié;Secondaire;No;582;No;Yes;;0;1;-1;0;;Absent
77;2008-05-05;55;Services;Divorcé;Secondaire;No;91;No;No;;0;1;-1;0;;Absent
78;2008-05-05;49;Services;Divorcé;Secondaire;No;0;Yes;Yes;;0;1;-1;0;;Absent
79;2008-05-05;55;Services;Divorcé;Secondaire;Yes;1;Yes;No;;0;1;-1;0;;Absent
80;2008-05-05;45;Admin;Célibataire;Secondaire;No;206;Yes;No;;193;1;-1;0;;Suppression
81;2008-05-05;47;Services;Divorcé;Secondaire;No;164;No;No;;212;1;-1;0;;Refus
82;2008-05-05;42;Technicien;Célibataire;Secondaire;No;690;Yes;No;;20;1;-1;0;;Refus
83;2008-05-05;59;Admin;Marié;Secondaire;No;2343;Yes;No;;1042;1;-1;0;;Souscrit
84;2008-05-05;46;Indépendant;Marié;Tertiaire;No;137;Yes;Yes;;246;1;-1;0;;Suppression
85;2008-05-05;51;Col bleu;Marié;Primaire;No;173;Yes;No;;529;2;-1;0;;Refus
86;2008-05-05;56;Admin;Marié;Secondaire;No;45;No;No;;1467;1;-1;0;;Souscrit
87;2008-05-05;41;Technicien;Marié;Secondaire;No;1270;Yes;No;;1389;1;-1;0;;Souscrit
88;2008-05-05;46;Manager;Divorcé;Secondaire;No;16;Yes;Yes;;0;2;-1;0;;Absent
89;2008-05-05;57;Retraité;Marié;Secondaire;No;486;Yes;No;;0;2;-1;0;;Absent
90;2008-05-05;42;Manager;Célibataire;Secondaire;No;50;No;No;;48;1;-1;0;;Suppression
91;2008-05-05;30;Technicien;Marié;Secondaire;No;152;Yes;Yes;;0;2;-1;0;;Absent
92;2008-05-05;60;Admin;Marié;Secondaire;No;290;Yes;No;;583;1;-1;0;;Refus
93;2008-05-05;60;Col bleu;Marié;;No;54;Yes;No;;0;1;-1;0;;Absent
94;2008-05-05;57;Entrepreuneur;Divorcé;Secondaire;No;-37;No;No;;173;1;-1;0;;Refus
95;2008-05-05;36;Manager;Marié;Tertiaire;No;101;Yes;Yes;;426;1;-1;0;;Refus
96;2008-05-05;55;Col bleu;Marié;Secondaire;No;383;No;No;;287;1;-1;0;;Suppression
97;2008-05-05;60;Retraité;Marié;Tertiaire;No;81;Yes;No;;0;1;-1;0;;Absent
98;2008-05-05;39;Technicien;Marié;Secondaire;No;0;Yes;No;;203;1;-1;0;;Refus
99;2008-05-05;46;Manager;Marié;Tertiaire;No;229;Yes;No;;197;1;-1;0;;Refus
100;2008-05-05;123;Col bleu;Marié;Secondaire;No;-674;Yes;No;;0;1;-1;0;;Absent
101;2008-05-05;53;Col bleu;Marié;Primaire;No;90;No;No;;124;1;-1;0;;Refus
102;2008-05-05;52;Col bleu;Marié;Primaire;No;128;Yes;No;;229;1;-1;0;;Refus
103;2008-05-05;59;Col bleu;Marié;Primaire;No;179;Yes;No;;0;3;-1;0;;Absent
104;2008-05-05;27;Technicien;Célibataire;Tertiaire;No;0;Yes;No;;400;1;-1;0;;Refus
105;2008-05-05;44;Col bleu;Marié;Secondaire;No;54;Yes;No;;0;1;-1;0;;Absent
106;2008-05-05;47;Technicien;Marié;Tertiaire;No;151;Yes;No;;0;1;-1;0;;Absent
107;2008-05-05;34;Admin;Marié;Secondaire;No;61;No;Yes;;0;1;-1;0;;Absent
108;2008-05-05;59;Retraité;Célibataire;Secondaire;No;30;Yes;No;;0;1;-1;0;;Absent
109;2008-05-05;45;Manager;Marié;Tertiaire;No;523;Yes;No;;0;2;-1;0;;Absent
110;2008-05-05;29;Services;Divorcé;Secondaire;No;31;Yes;No;;0;1;-1;0;;Absent
111;2008-05-05;46;Technicien;Divorcé;Secondaire;No;79;No;No;;0;1;-1;0;;Absent
112;2008-05-05;56;Indépendant;Marié;Primaire;No;-34;Yes;Yes;;212;2;-1;0;;Refus
113;2008-05-05;36;Col bleu;Marié;Primaire;No;448;Yes;No;;0;1;-1;0;;Absent
114;2008-05-05;59;Retraité;Divorcé;Primaire;No;81;Yes;No;;107;1;-1;0;;Refus
115;2008-05-05;44;Col bleu;Marié;Secondaire;No;144;Yes;No;;0;2;-1;0;;Absent
116;2008-05-05;41;Admin;Marié;Secondaire;No;351;Yes;No;;0;1;-1;0;;Absent
117;2008-05-05;33;Manager;Célibataire;Tertiaire;No;-67;Yes;No;;364;1;-1;0;;Refus
118;2008-05-05;59;Manager;Divorcé;Tertiaire;No;262;No;No;;178;1;-1;0;;Refus
119;2008-05-05;57;Technicien;Marié;Primaire;No;0;No;No;;0;1;-1;0;;Absent
120;2008-05-05;56;Technicien;Divorcé;;No;56;Yes;No;;0;1;-1;0;;Absent
121;2008-05-05;51;Col bleu;Marié;Secondaire;No;26;Yes;No;;0;1;-1;0;;Absent
122;2008-05-05;34;Admin   ;Marié;;No;3;Yes;No;;120;3;-1;0;;Refus
123;2008-05-05;43;Services;Marié;Secondaire;No;41;Yes;Yes;;127;2;-1;0;;Refus
124;2008-05-05;52;Technicien;Marié;Tertiaire;No;7;No;Yes;;0;1;-1;0;;Absent
125;2008-05-05;33;Technicien;Célibataire;Secondaire;No;105;Yes;No;;262;2;-1;0;;Refus
126;2008-05-05;29;Admin;Célibataire;Secondaire;No;818;Yes;Yes;;0;1;-1;0;;Absent
127;2008-05-05;34;Services;Marié;Secondaire;No;-16;Yes;Yes;;0;1;-1;0;;Absent
128;2008-05-05;31;Col bleu;Marié;Secondaire;No;0;Yes;No;;143;1;-1;0;;Refus
129;2008-05-05;55;Services;Marié;Secondaire;No;2476;Yes;No;;579;1;-1;0;;Souscrit
130;2008-05-05;55;Manager;Marié;;No;1185;No;No;;0;1;-1;0;;Absent
131;2008-05-05;32;Admin;Célibataire;Secondaire;No;217;Yes;No;;345;1;-1;0;;Refus
132;2008-05-05;123;Technicien;Célibataire;Secondaire;No;1685;Yes;No;;0;1;-1;0;;Absent
133;2008-05-05;55;Admin;Célibataire;Secondaire;No;802;Yes;Yes;;100;2;-1;0;;Refus
134;2008-05-05;28;Chomeur;Célibataire;Tertiaire;No;0;Yes;No;;125;2;-1;0;;Refus
135;2008-05-05;23;Col bleu;Marié;Secondaire;No;94;Yes;No;;193;1;-1;0;;Refus
136;2008-05-05;32;Technicien;Célibataire;Secondaire;No;0;Yes;No;;136;1;-1;0;;Suppression
137;2008-05-05;43;Services;Célibataire;;No;0;No;No;;0;1;-1;0;;Absent
138;2008-05-05;32;Col bleu;Marié;Secondaire;No;517;Yes;No;;0;1;-1;0;;Absent
139;2008-05-05;46;Col bleu;Marié;Secondaire;No;265;Yes;No;;541;1;-1;0;;Suppression
140;2008-05-05;53;Employé de ménage;Divorcé;Primaire;No;947;Yes;No;;163;1;-1;0;;Refus
141;2008-05-05;34;Indépendant;Célibataire;Secondaire;No;3;Yes;No;;301;1;-1;0;;Suppression
142;2008-05-05;57;Chomeur;Marié;Tertiaire;No;42;No;No;;0;1;-1;0;;Absent
143;2008-05-05;37;Col bleu;Marié;Secondaire;No;37;Yes;No;;0;1;-1;0;;Absent
144;2008-05-05;59;Col bleu;Marié;Secondaire;No;57;Yes;No;;0;1;-1;0;;Absent
145;2008-05-05;33;Services;Marié;Secondaire;No;22;Yes;No;;71;1;-1;0;;Refus
146;2008-05-05;56;Col bleu;Divorcé;Primaire;No;8;Yes;No;;157;2;-1;0;;Refus
147;2008-05-05;48;Chomeur;Marié;Secondaire;No;293;Yes;No;;0;1;-1;0;;Absent
148;2008-05-05;43;Services;Marié;Primaire;No;3;Yes;No;;186;2;-1;0;;Refus
149;2008-05-05;54;Col bleu;Marié;Primaire;No;348;Yes;No;;579;2;-1;0;;Refus
150;2008-05-05;51;Col bleu;Marié;;No;-19;Yes;No;;163;2;-1;0;;Suppression
151;2008-05-05;26;Etudiant;Célibataire;Secondaire;No;0;Yes;No;;610;2;-1;0;;Suppression
152;2008-05-05;40;Manager;Marié;Tertiaire  ;No;-4;Yes;No;;0;1;-1;0;;Absent
153;2008-05-05;39;Manager;Marié;Secondaire;No;18;Yes;No;;85;1;-1;0;;En Attente
154;2008-05-05;50;Technicien;Marié;Primaire;No;139;No;No;;114;2;-1;0;;Refus
155;2008-05-05;41;Services;Marié;Secondaire;No;0;Yes;No;;114;2;-1;0;;Refus
156;2008-05-05;51;Col bleu;Marié;;No;1883;Yes;No;;0;1;-1;0;;Absent
157;2008-05-05;60;Retraité;Divorcé;Secondaire;No;216;Yes;No;;238;1;-1;0;;Refus
158;2008-05-05;52;Col bleu;Marié;Secondaire;No;782;Yes;No;;93;3;-1;0;;Refus
159;2008-05-05;48;Col bleu;Marié;Secondaire;No;904;Yes;No;;0;2;-1;0;;Absent
160;2008-05-05;48;Services;Marié;;No;1705;Yes;No;;107;1;-1;0;;Refus
161;2008-05-05;39;Technicien;Célibataire;Tertiaire;No;47;Yes;No;;0;1;-1;0;;Absent
162;2008-05-05;47;Services;Célibataire;Secondaire;No;176;Yes;No;;303;2;-1;0;;Refus
163;2008-05-05;40;Col bleu;Marié;Secondaire;No;1225;Yes;No;;0;5;-1;0;;Absent
164;2008-05-05;45;Technicien;Marié;Secondaire;No;86;Yes;No;;270;1;-1;0;;Refus
165;2008-05-05;26;Admin;Célibataire;Secondaire;No;82;Yes;No;;228;1;-1;0;;Refus
166;2008-05-05;52;Manager;Marié;Tertiaire;No;271;Yes;No;;99;1;-1;0;;Refus
167;2008-05-05;54;Technicien;Marié;Secondaire;No;1378;Yes;No;;240;1;-1;0;;Refus
168;2008-05-05;54;Admin   ;Marié;Tertiaire   ;No;184;No;No;;673;2;-1;0;;Souscrit
169;2008-05-05;50;Col bleu;Marié;Primaire;No;0;No;No;;0;3;-1;0;;Absent
170;2008-05-05;35;Col bleu;Marié;Secondaire;No;0;Yes;No;;1056;1;-1;0;;Refus
171;2008-05-05;44;Services;Marié;Secondaire;No;1357;Yes;Yes;;0;1;-1;0;;Absent
172;2008-05-05;53;Entrepreuneur ;Marié;;No;19;Yes;No;;0;1;-1;0;;Absent
173;2008-05-05;35;Retraité;Célibataire;Primaire;No;434;No;No;;138;1;-1;0;;Refus
174;2008-05-05;60;Admin;Divorcé;Secondaire;No;92;Yes;No;;0;1;-1;0;;Absent
175;2008-05-05;53;Admin;Divorcé;Secondaire;No;1151;Yes;No;;0;1;-1;0;;Absent
176;2008-05-05;48;Chomeur;Marié;Secondaire;No;41;Yes;No;;179;2;-1;0;;Suppression
177;2008-05-05;34;Technicien;Marié;Secondaire;No;51;Yes;No;;19;2;-1;0;;Refus
178;2008-05-05;54;Services;Marié;Secondaire;No;214;Yes;No;;0;2;-1;0;;Absent
179;2008-05-05;51;Manager;Marié;Secondaire;No;1161;Yes;No;;717;1;-1;0;;Refus
180;2008-05-05;31;Services;Marié;Tertiaire;No;37;Yes;No;;0;1;-1;0;;Absent
181;2008-05-05;35;Technicien;Divorcé;Secondaire;No;787;Yes;No;;0;2;-1;0;;Absent
182;2008-05-05;35;Services;Marié;Secondaire;No;59;Yes;No;;1077;1;-1;0;;En Attente
183;2008-05-05;38;Technicien;Marié;Secondaire;No;253;Yes;No;;416;1;-1;0;;Refus
184;2008-05-05;36;Admin;Marié;Tertiaire;No;211;Yes;No;;0;2;-1;0;;Absent
185;2008-05-05;58;Retraité;Marié;Primaire;No;235;Yes;No;;167;1;-1;0;;Refus
186;2008-05-05;40;Services;Divorcé;;No;4384;Yes;No;;315;1;-1;0;;Suppression
187;2008-05-05;123;Manager;Marié;Secondaire;No;4080;No;No;;140;1;-1;0;;Refus
188;2008-05-05;34;Col bleu;Célibataire;Secondaire;No;53;Yes;Yes;;0;1;-1;0;;Absent
189;2008-05-05;31;Manager;Célibataire;Tertiaire;No;0;Yes;No;;562;1;-1;0;;Refus
190;2008-05-05;123;Retraité;Marié;Secondaire;No;2127;Yes;No;;172;1;-1;0;;Refus
191;2008-05-05;33;Manager;Marié;Tertiaire;No;377;Yes;No;;217;1;-1;0;;Refus
192;2008-05-05;55;Manager;Marié;Tertiaire;No;73;Yes;No;;0;2;-1;0;;Absent
193;2008-05-05;42;Admin;Marié;Secondaire;No;445;Yes;No;;0;1;-1;0;;Absent
194;2008-05-05;34;Col bleu;Marié;Secondaire;No;243;Yes;No;;0;1;-1;0;;Absent
195;2008-05-05;33;Col bleu;Célibataire;Secondaire;No;307;Yes;No;;309;2;-1;0;;Refus
196;2008-05-05;38;Services   ;Marié;Secondaire;No;155;Yes;No;;0;1;-1;0;;Absent
197;2008-05-05;50;Technicien;Divorcé;Tertiaire;No;173;No;Yes;;0;1;-1;0;;Absent
198;2008-05-05;43;Manager;Marié;Tertiaire  ;No;400;Yes;No;;256;1;-1;0;;En Attente
199;2008-05-05;61;Col bleu;Divorcé;Primaire;No;1428;Yes;No;;0;2;-1;0;;Absent
200;2008-05-05;47;Admin;Marié;Secondaire;No;219;Yes;No;;577;1;-1;0;;Refus
201;2008-05-05;48;Indépendant;Marié;Tertiaire;No;7;Yes;No;;0;1;-1;0;;Absent
202;2008-05-05;44;Col bleu;Marié;Secondaire;No;575;Yes;No;;0;1;-1;0;;Absent
203;2008-05-05;35;Etudiant;Célibataire;;No;298;Yes;No;;611;2;-1;0;;Refus
204;2008-05-05;35;Services;Marié;Secondaire;No;0;Yes;No;;471;1;-1;0;;Refus
205;2008-05-05;50;Services;Marié;Secondaire;No;5699;Yes;No;;381;2;-1;0;;Refus
206;2008-05-05;41;Manager;Marié;Tertiaire;No;176;Yes;Yes;;42;1;-1;0;;Refus
207;2008-05-05;41;Manager;Marié;Tertiaire ;No;517;Yes;No;;0;1;-1;0;;Absent
208;2008-05-05;39;Services;Célibataire;;No;257;Yes;No;;0;1;-1;0;;Absent
209;2008-05-05;42;Retraité;Marié;Secondaire;No;56;Yes;No;;215;1;-1;0;;Refus
210;2008-05-05;38;Col bleu;Marié;Secondaire;No;-390;Yes;No;;287;1;-1;0;;Suppression
211;2008-05-05;53;Retraité;Marié;Secondaire;No;330;Yes;No;;0;2;-1;0;;Absent
212;2008-05-05;59;Employé de ménage;Divorcé;Primaire;No;195;No;No;;0;2;-1;0;;Absent
213;2008-05-05;36;Services;Marié;Secondaire;No;301;Yes;No;;0;1;-1;0;;Absent
214;2008-05-05;54;Col bleu;Marié;Primaire;No;-41;Yes;No;;288;1;-1;0;;Suppression
215;2008-05-05;40;Technicien;Marié;Tertiaire;No;483;Yes;No;;0;1;-1;0;;Absent
216;2008-05-05;47;;Marié;;No;28;No;No;;0;2;-1;0;;Absent
217;2008-05-05;53;Chomeur;Marié;;No;13;No;No;;410;3;-1;0;;Refus
218;2008-05-05;46;Employé de ménage;Marié;Primaire;No;965;No;No;;177;1;-1;0;;Refus
219;2008-05-05;39;Manager;Marié;Tertiaire;No;378;Yes;Yes;;127;2;-1;0;;Refus
220;2008-05-05;40;Chomeur;Marié;Secondaire;No;219;Yes;No;;0;1;-1;0;;Absent
221;2008-05-05;28;Col bleu;Marié;Primaire;No;324;Yes;No;;175;1;-1;0;;En Attente
222;2008-05-05;35;Entrepreuneur;Divorcé;Secondaire;No;-69;Yes;No;;300;1;-1;0;;Suppression
223;2008-05-05;55;Retraité;Marié;Secondaire;No;0;No;Yes;;136;1;-1;0;;Refus
224;2008-05-05;43;Technicien;Divorcé;;No;205;Yes;No;;0;1;-1;0;;Absent
225;2008-05-05;48;Col bleu;Marié;Primaire;No;278;Yes;No;;0;2;-1;0;;Absent
226;2008-05-05;58;Manager;Marié;;No;1065;Yes;No;;0;3;-1;0;;Absent
227;2008-05-05;33;Manager;Célibataire;Tertiaire;No;34;Yes;No;;27;1;-1;0;;Refus
228;2008-05-05;36;Col bleu;Marié;;No;1033;No;No;;238;2;-1;0;;Refus
229;2008-05-05;53;Services;Divorcé;Secondaire;No;1467;Yes;No;;124;1;-1;0;;Refus
230;2008-05-05;47;Col bleu;Marié;Primaire;No;-12;Yes;No;;18;1;-1;0;;Refus
231;2008-05-05;31;Services;Marié;Secondaire;No;388;Yes;No;;730;2;-1;0;;Refus
232;2008-05-05;57;Entrepreuneur;Marié;Secondaire;No;294;Yes;No;;746;2;-1;0;;Refus
233;2008-05-05;53;Col bleu;Marié;;No;1827;No;No;;121;1;-1;0;;Suppression
234;2008-05-05;55;Col bleu;Marié;Primaire;No;627;Yes;No;;0;1;-1;0;;Absent
235;2008-05-05;45;Col bleu;Marié;Primaire;No;25;Yes;No;;0;1;-1;0;;Absent
236;2008-05-05;53;Admin;Divorcé;Secondaire;No;315;Yes;No;;0;2;-1;0;;Absent
237;2008-05-05;37;Col bleu;Marié;Primaire;No;0;Yes;No;;79;1;-1;0;;Suppression
238;2008-05-05;44;Admin;Divorcé;Secondaire;No;66;Yes;No;;0;1;-1;0;;Absent
239;2008-05-05;49;Col bleu;Divorcé;Primaire;No;-9;Yes;Yes;;389;1;-1;0;;Refus
240;2008-05-05;46;Technicien;Marié;Secondaire;No;349;Yes;Yes;;0;1;-1;0;;Absent
241;2008-05-05;43;Entrepreuneur;Marié;;No;100;Yes;No;;702;1;-1;0;;Refus
242;2008-05-05;38;Admin;Marié;Secondaire;No;0;No;No;;0;1;-1;0;;Absent
243;2008-05-05;43;Technicien;Marié;Secondaire;No;434;Yes;No;;117;1;-1;0;;Refus
244;2008-05-05;49;Manager;Marié;Tertiaire  ;No;3237;Yes;No;;232;3;-1;0;;Refus
245;2008-05-05;42;Manager;Marié;;No;275;No;No;;408;2;-1;0;;Refus
246;2008-05-05;22;Col bleu;Célibataire;Secondaire;No;0;Yes;No;;179;2;-1;0;;Refus
247;2008-05-05;40;Manager;Marié;Tertiaire;No;207;Yes;No;;0;1;-1;0;;Absent
248;2008-05-05;39;Col bleu;Marié;Secondaire;No;483;Yes;No;;282;1;-1;0;;Refus
249;2008-05-05;123;Services;;Secondaire;No;2248;Yes;;;714;2;-1;0;;Refus
250;2008-05-05;49;Admin;Marié;Secondaire;No;428;Yes;No;;50;1;-1;0;;Refus
251;2008-05-05;53;Col bleu;Marié;Secondaire;No;0;Yes;Yes;;0;1;-1;0;;Absent
252;2008-05-05;34;Services;Célibataire;Secondaire;No;0;Yes;No;;0;1;-1;0;;Absent
253;2008-05-05;33;Technicien;Divorcé;Secondaire;No;140;Yes;No;;227;1;-1;0;;Refus
254;2008-05-05;50;Manager;Célibataire;Tertiaire;No;297;Yes;No;;119;1;-1;0;;Refus
255;2008-05-05;123;Col bleu;Marié;Primaire;No;279;Yes;;;361;1;-1;0;;Refus
256;2008-05-05;59;Entrepreuneur;Divorcé;Secondaire;No;901;Yes;No;;73;3;-1;0;;Refus
257;2008-05-05;30;Technicien;Célibataire;Secondaire;No;2573;Yes;No;;67;2;-1;0;;Refus
258;2008-05-05;36;Services;Marié;Secondaire;No;143;Yes;Yes;;0;1;-1;0;;Absent
259;2008-05-05;40;Col bleu;Marié;Secondaire;No;475;Yes;No;;0;2;-1;0;;Absent
260;2008-05-05;53;Col bleu;Marié;Secondaire;No;70;Yes;No;;611;2;-1;0;;Refus
261;2008-05-05;34;Manager;Célibataire;Tertiaire;No;318;Yes;No;;0;2;-1;0;;Absent
262;2008-05-05;37;Technicien;Marié;Secondaire;No;275;Yes;No;;0;1;-1;0;;Absent
263;2008-05-05;42;Manager;Divorcé;Tertiaire;No;742;Yes;No;;58;3;-1;0;;Refus
264;2008-05-05;41;Entrepreuneur;Marié;Primaire;No;236;Yes;No;;151;1;-1;0;;Refus
265;2008-05-05;30;Etudiant;Célibataire;Tertiaire;No;25;Yes;No;;89;2;-1;0;;Refus
266;2008-05-05;37;Manager;Célibataire;Tertiaire;No;600;Yes;No;;0;1;-1;0;;Absent
267;2008-05-05;39;Admin;Divorcé;Secondaire;No;-349;Yes;No;;0;2;-1;0;;Absent
